brand_name,median_price_czk,tier,sku_count
Organic Basics,760.0,BASICS,92
Izipizi,950.0,BASICS,37
ferdinand,400.0,BASICS,34
Shupatto,699.0,BASICS,30
So.Slow,490.0,BASICS,11
P&T,780.0,BASICS,10
AOMU,300.0,BASICS,9
Skate World Better,740.0,BASICS,8
Karst,640.0,BASICS,7
VONIAK,399.0,BASICS,7
Freshlabels,448.0,BASICS,6
In August Company,545.0,BASICS,6
Nuuna,630.0,BASICS,5
ORACULUM,890.0,BASICS,5
GUPPYFRIEND,330.0,BASICS,2
Hlubina,640.0,BASICS,2
DAYZ,680.0,BASICS,1
Dopper,162.0,BASICS,1
Fila,630.0,BASICS,1
KAVU,970.0,BASICS,1
Makia,620.0,BASICS,1
Rareplaces,550.0,BASICS,1
Secrid,700.0,BASICS,1
Ölend,390.0,BASICS,1
Carhartt WIP,1410.0,ENTRY,595
Armedangels,1350.0,ENTRY,213
Thinking MU,1290.0,ENTRY,139
Herschel Supply,1590.0,ENTRY,115
Klättermusen,1490.0,ENTRY,43
Chrome Industries,1590.0,ENTRY,42
Topologie,1100.0,ENTRY,42
Komono,1690.0,ENTRY,40
Dickies,1395.0,ENTRY,32
ONE OF XX,1490.0,ENTRY,29
ENAMEL Copenhagen,1190.0,ENTRY,23
HOME STUDYO,1090.0,ENTRY,21
YKRA,1690.0,ENTRY,18
Got Bag,1190.0,ENTRY,13
Elliker,1150.0,ENTRY,12
PrintWorks,1110.0,ENTRY,8
Novesta,1525.0,ENTRY,6
Forét,1540.0,ENTRY,2
Rains,1356.5,ENTRY,2
Ninety Percent,1750.0,ENTRY,1
Patagonia,1925.0,LIFESTYLE_CORE,442
Service Works,1890.0,LIFESTYLE_CORE,115
SKFK,1850.0,LIFESTYLE_CORE,96
Fjällräven,2460.0,LIFESTYLE_CORE,92
pinqponq,2190.0,LIFESTYLE_CORE,84
Aevor,2120.0,LIFESTYLE_CORE,65
Gramicci,2465.5,LIFESTYLE_CORE,58
Montura,2030.0,LIFESTYLE_CORE,51
Ucon Acrobatics,1860.0,LIFESTYLE_CORE,27
Kaala,1990.0,LIFESTYLE_CORE,21
Topo Designs,1990.0,LIFESTYLE_CORE,21
Knowledge Cotton,2390.0,LIFESTYLE_CORE,3
Yerse,2460.0,LIFESTYLE_CORE,3
FURIOSA®,2265.0,LIFESTYLE_CORE,2
WeSC,2090.0,LIFESTYLE_CORE,1
ECOALF,2680.0,PREMIUM,49
FREITAG,2990.0,PREMIUM,48
Salomon,3760.0,PREMIUM,48
Braasi Industry,4350.0,PREMIUM,32
Db,4890.0,PREMIUM,30
Birkenstock,3522.5,PREMIUM,24
Keen,3290.0,PREMIUM,24
Taion,2530.0,PREMIUM,20
Veja,3140.0,PREMIUM,19
Peak Design,2590.0,PREMIUM,15
Blundstone,4315.0,PREMIUM,14
Sony,6999.0,PREMIUM,9
Osprey,3040.0,PREMIUM,8
FUBUKI,3000.0,PREMIUM,6
WINQS,3310.0,PREMIUM,5
On,4490.0,PREMIUM,4
PBG,4490.0,PREMIUM,4
Tropicfeel,2630.0,PREMIUM,4
Cariuma,3032.0,PREMIUM,3
Sandqvist,3990.0,PREMIUM,1
